fund_code,fund_name,share_class,base_fund,category,theme,is_qdii,aum_cny,age_days,purchase_status,redemption_status,daily_limit_cny,lock_days,tracking_error,fee_source,fee_verified_at
007339,易方达沪深300ETF联接C,C,易方达沪深300ETF联接,index,broad-index,false,,,unknown,unknown,,,,,
021894,易方达半导体材料设备ETF联接C,C,易方达半导体材料设备ETF联接,index,cn-semiconductor-index,false,,,unknown,unknown,,,,,
010004,景顺长城电子信息产业股票C,C,景顺长城电子信息产业股票,active-equity,cn-tech-active,false,,,unknown,unknown,,,,,
012922,易方达全球成长精选混合(QDII)C,C,易方达全球成长精选混合(QDII),qdii-active,qdii-global-growth-active,true,,,unknown,unknown,,,,,
021528,财通成长优选混合C,C,财通成长优选混合,active-equity,cn-active,false,,,unknown,unknown,,,,,
007818,国泰中证全指通信设备ETF联接C,C,国泰中证全指通信设备ETF联接,index,cn-communication-index,false,,,unknown,unknown,,,,,
019024,易方达信息行业精选股票C,C,易方达信息行业精选股票,active-equity,cn-tech-active,false,,,unknown,unknown,,,,,
024481,财通品质甄选混合C,C,财通品质甄选混合,active-equity,cn-active,false,,,unknown,unknown,,,,,
017731,嘉实全球产业升级股票(QDII)C,C,嘉实全球产业升级股票(QDII),qdii-active,qdii-global-active,true,,,unknown,unknown,,,,,
014565,天弘沪深港创新药50ETF联接C,C,天弘沪深港创新药50ETF联接,index,hk-health-index,false,,,unknown,unknown,,,,,
019331,华泰柏瑞中证沪港深云计算产业ETF联接C,C,华泰柏瑞中证沪港深云计算产业ETF联接,index,cn-hk-cloud-index,false,,,unknown,unknown,,,,,
016665,天弘全球高端制造混合(QDII)C,C,天弘全球高端制造混合(QDII),qdii-active,qdii-global-active,true,,,unknown,unknown,,,,,
006479,广发纳指100ETF联接(QDII)C,C,广发纳指100ETF联接(QDII),qdii-index,qdii-nasdaq-index,true,,,unknown,unknown,,,,,
016371,信澳业绩驱动混合C,C,信澳业绩驱动混合,active-equity,cn-active,false,,,unknown,unknown,,,,,
006503,财通集成电路产业股票C,C,财通集成电路产业股票,active-equity,cn-semiconductor-active,false,,,unknown,unknown,,,,,
002891,华夏移动互联灵活配置混合(QDII),人民币,华夏移动互联灵活配置混合(QDII),qdii-active,qdii-tech-active,true,,,unknown,unknown,,,,,
539002,建信新兴市场优选混合(QDII)A,A,建信新兴市场优选混合(QDII),qdii-active,qdii-emerging-active,true,,,unknown,unknown,,,,,
006373,国富全球科技互联混合(QDII)人民币A,A,国富全球科技互联混合(QDII),qdii-active,qdii-tech-active,true,,,unknown,unknown,,,,,
021873,中欧中证沪深港黄金产业股票指数A,A,中欧中证沪深港黄金产业股票指数,index,gold-miners-index,false,,,unknown,unknown,,,,,
